First Name,Last Name,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Longest Pass,Sacks Taken,Rush Attempts,Rush Yards Gained,Rush Yards Lost,Net Rush Yards,Rushing TDs,Longest Rush,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Longest Reception,GameID,Link,Date,Home Team,Away Team,Home Score,Away Score,Texas Result,Season
Raymond,Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win,1947
H.J.,Shands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,16.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win,1947
Ray,Borneman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-5.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win,1947
Dale,Schwartzkopf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,20.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win,1947
Max,Bumgardner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,14.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win,1947
Bobby,Layne,6.0,9.0,0.0,61.0,0.0,0.0,0.0,5.0,14.0,5.0,9.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Paul,Campbell,1.0,1.0,0.0,21.0,0.0,21.0,0.0,1.0,0.0,14.0,-14.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Frank,Guess,1.0,1.0,0.0,31.0,1.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
,Game,8.0,11.0,0.0,113.0,1.0,31.0,0.0,63.0,244.0,31.0,213.0,1.0,0.0,3.4,8.0,113.0,1.0,12.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Tom,Landry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,78.0,0.0,78.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Billy,Pyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,66.0,1.0,65.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Jim,Canady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,2.0,47.0,1.0,0.0,2.8,1.0,10.0,0.0,10.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Byron,Gillory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,19.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Randall,Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
H.J.,Shands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Ray,Borneman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,-1.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
H.K.,Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Max,Bumgardner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Ralph,Blount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,1.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Charles,Tatom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,12.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win,1947
Bobby,Layne,10.0,21.0,1.0,144.0,1.0,0.0,0.0,7.0,28.0,6.0,22.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Paul,Campbell,1.0,2.0,0.0,11.0,0.0,11.0,0.0,4.0,25.0,4.0,21.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
,Game,11.0,23.0,1.0,155.0,1.0,11.0,0.0,52.0,290.0,19.0,271.0,3.0,28.0,5.2,11.0,155.0,1.0,16.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Raymond,Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,60.0,4.0,56.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Ray,Borneman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,51.0,2.0,49.0,1.0,0.0,4.9,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Frank,Guess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,28.0,1.0,28.0,28.0,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
H.J.,Shands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Jim,Canady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,1.0,25.0,1.0,0.0,3.6,1.0,8.0,0.0,8.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Tom,Landry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Byron,Gillory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,16.0,0.0,0.0,4.0,1.0,10.0,0.0,10.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Perry,Samuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
H.K.,Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Randall,Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Billy,Pyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,0.0,-2.0,1.0,3.0,0.0,3.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Ralph,Blount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,56.0,1.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Max,Bumgardner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,0.0,0.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Lewis,Holder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,16.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
George,McCall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,11.0,baylor_texas_11_8_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-bay.htm,1947-11-08,texas,baylor,28.0,7.0,Win,1947
Bobby,Layne,9.0,15.0,1.0,120.0,1.0,0.0,0.0,6.0,24.0,3.0,21.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
,Game,9.0,15.0,1.0,120.0,1.0,0.0,0.0,36.0,105.0,29.0,76.0,1.0,0.0,2.1,9.0,120.0,1.0,11.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Jim,Canady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,25.0,0.0,0.0,3.1,2.0,25.0,0.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Byron,Gillory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,14.0,22.0,0.0,0.0,1.8,2.0,19.0,1.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Tom,Landry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,13.0,1.0,0.0,2.2,0.0,0.0,0.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Raymond,Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,7.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
H.J.,Shands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-5.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Frank,Guess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-7.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Ralph,Blount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Dale,Schwartzkopf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Max,Bumgardner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,11.0,texas_smu_11_1_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-smu.htm,1947-11-01,smu,texas,14.0,13.0,Loss,1947
Bobby,Layne,5.0,14.0,1.0,60.0,1.0,0.0,0.0,2.0,6.0,1.0,5.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Paul,Campbell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
,Game,5.0,15.0,1.0,60.0,1.0,0.0,0.0,53.0,183.0,23.0,160.0,1.0,0.0,3.0,5.0,60.0,1.0,18.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Jim,Canady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,81.0,0.0,81.0,1.0,0.0,5.4,1.0,11.0,0.0,11.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Tom,Landry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,45.0,3.0,42.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Byron,Gillory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,11.0,13.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Randall,Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,1.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Perry,Samuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Billy,Pyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
H.J.,Shands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,-1.0,0.0,0.0,-0.2,2.0,17.0,0.0,0.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Max,Bumgardner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,18.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
George,McCall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,14.0,rice_texas_10_25_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-rice.htm,1947-10-25,texas,rice,12.0,0.0,Win,1947
Bobby,Layne,4.0,5.0,0.0,36.0,0.0,0.0,0.0,5.0,9.0,1.0,8.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
,Game,4.0,5.0,0.0,36.0,0.0,0.0,0.0,67.0,272.0,5.0,267.0,3.0,3.0,4.0,4.0,36.0,0.0,13.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
Jim,Canady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,69.0,0.0,69.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
Raymond,Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,62.0,0.0,62.0,2.0,0.0,4.8,0.0,0.0,0.0,0.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
Byron,Gillory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,3.0,54.0,0.0,0.0,4.9,1.0,0.0,0.0,0.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
Randall,Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,51.0,1.0,50.0,1.0,0.0,3.6,0.0,0.0,0.0,0.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
H.J.,Shands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0,21.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
Billy,Pyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
Max,Bumgardner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,0.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
Lewis,Holder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,13.0,arkansas_texas_10_18_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ark.htm,1947-10-18,texas,arkansas,21.0,6.0,Win,1947
Bobby,Layne,8.0,11.0,0.0,129.0,1.0,0.0,0.0,1.0,0.0,12.0,-12.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,oklahoma_texas_10_11_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-okla.htm,1947-10-11,texas,oklahoma,34.0,14.0,Win,1947
